word,decision,reason_or_evidence
NEWT,exclude,no clear singular countable sense (heuristic)
NICE,exclude,no clear singular countable sense (heuristic)
NICK,keep,00387897: a small cut
NINE,keep,08079613: a team of professional baseball players who play and travel together
NIPA,exclude,no clear singular countable sense (heuristic)
NODE,keep,13911045: a connecting point at which several lines come together
NOEL,exclude,no clear singular countable sense (heuristic)
NOMA,exclude,no clear singular countable sense (heuristic)
NOME,exclude,no clear singular countable sense (heuristic)
NONE,keep,01034385: a service in the Roman Catholic Church formerly read or chanted at 3 PM (the ninth hour counting from sunrise) but now somewhat earlier
NOOK,keep,03109881: an interior angle formed by two meeting walls
NOON,exclude,no clear singular countable sense (heuristic)
NORM,keep,06021761: a statistic describing the location of a distribution
NOSE,keep,03830835: a front that resembles a human nose (especially the front of an aircraft)
NOSH,exclude,no clear singular countable sense (heuristic)
NOTE,keep,04727694: a characteristic emotional quality
NOUN,keep,"06319293: a content word that can be used to refer to a person, place, thing, quality, or action"
NOUS,exclude,no clear singular countable sense (heuristic)
NOVA,keep,09374493: a star that ejects some of its material in the form of a cloud and become more luminous in the process
NUDE,keep,03835197: a painting of a naked human figure
NUKE,exclude,no clear singular countable sense (heuristic)
NULL,keep,13740168: a quantity of no importance
PACA,keep,02366301: large burrowing rodent of South America and Central America
PACE,keep,00285889: a step in walking or running
PACK,keep,03870546: a convenient package or parcel (as of cigarettes or film)
PACT,keep,06773434: a written agreement between two states or sovereigns
PAGE,keep,10391248: a youthful attendant at official functions or ceremonies such as legislative functions and weddings
PAIL,keep,02909870: a roughly cylindrical vessel that is open at the top
PAIN,keep,05724694: a somatic sensation of acute discomfort
PAIR,keep,07958407: a poker hand with 2 cards of the same value
PALE,exclude,no clear singular countable sense (heuristic)
PALI,exclude,no clear singular countable sense (heuristic)
PALL,keep,07537259: a sudden numbing dread
PALM,keep,06706676: an award for winning a championship or commemorating some other event
PANE,keep,03882611: a panel or section of panels in a wall or door
PANG,keep,07494972: a sudden sharp feeling
PANT,keep,00837098: a short labored intake of breath with the mouth open
PAPA,keep,09988063: an informal term for a father
PARA,keep,10399019: a soldier in the paratroops
PARK,keep,02782778: a facility in which ball games are played (especially baseball games)
PARR,keep,02513727: the young of various fishes
PART,keep,05256358: a line of scalp that can be seen when sections of hair are combed in opposite directions
PASS,keep,00304592: a flight or run by an aircraft over a target
PAST,keep,06330262: a verb tense that expresses actions or states in the past
PATE,exclude,no clear singular countable sense (heuristic)
PATH,keep,00415676: a course of conduct
PAVE,keep,03900393: a setting with precious stones so closely set that no metal shows
PAWL,keep,03901548: a hinged catch that fits into a notch of a ratchet to move a wheel forward or prevent it from moving backward
PAWN,keep,10209616: a person used by another to gain an end
PEAG,exclude,no clear singular countable sense (heuristic)
PEAK,keep,02838728: a brim that projects to the front to shade the eyes
PEAL,keep,07389330: a deep prolonged sound (as of thunder or large bells)
PEAN,keep,06694149: a formal expression of praise
PEAR,exclude,no clear singular countable sense (heuristic)
PEAT,exclude,no clear singular countable sense (heuristic)
PEBA,keep,02454794: having nine hinged bands of bony plates
PECK,keep,13620713: a United States dry measure equal to 8 quarts or 537.605 cubic inches
PEEK,keep,00878221: a secret look
PEEL,exclude,no clear singular countable sense (heuristic)
PEEN,exclude,no clear singular countable sense (heuristic)
PEEP,keep,00878221: a secret look
PEER,keep,09626238: a person who is of equal standing with another in a group
PELF,exclude,no clear singular countable sense (heuristic)
PELT,keep,01895735: body covering of a living animal
PEON,keep,10035809: a laborer who is obliged to do menial work
PERI,keep,10416364: a beautiful and graceful girl
PERK,keep,13298011: an incidental benefit awarded for certain types of employment (especially if it is regarded as a right)
PERM,keep,05260533: a series of waves in the hair made by applying heat and chemicals
PESO,exclude,no clear singular countable sense (heuristic)
PEST,keep,01314388: any unwanted and destructive insect or other animal that attacks food or crops or livestock etc.
PHIZ,exclude,no clear singular countable sense (heuristic)
PHON,keep,13713983: a unit of subjective loudness
PHOT,keep,13640866: a unit of illumination equal to 1 lumen per square centimeter
PICA,keep,13712428: a linear unit (1/6 inch) used in printing
PICK,keep,00563665: a basketball maneuver
PIER,keep,03933529: a platform built out from the shore into the water and supported by piles
PIKA,exclude,no clear singular countable sense (heuristic)
PIKE,keep,03306610: a broad highway designed for high-speed traffic
PILE,keep,02753710: a nuclear reactor that uses controlled nuclear fission to generate energy
PILL,keep,03936895: a contraceptive in the form of a pill containing estrogen and progestin to inhibit ovulation and so prevent conception
PIMP,keep,10433737: someone who procures customers for whores (in England they call a pimp a ponce)
PINE,keep,11608250: a coniferous tree
PING,keep,07389569: a sharp high-pitched resonant sound (as of a sonar echo or a bullet striking metal)
PINK,keep,04970916: a light shade of red
PINT,keep,13619307: a United States liquid unit equal to 16 fluid ounces
PIPA,exclude,no clear singular countable sense (heuristic)
PIPE,keep,03944672: a long tube made of metal or plastic that is used to carry water or oil or gas etc.
PISS,exclude,no clear singular countable sense (heuristic)
PITA,exclude,no clear singular countable sense (heuristic)
PITH,exclude,no clear singular countable sense (heuristic)
PITY,keep,07305098: an unfortunate development
PIXY,exclude,no clear singular countable sense (heuristic)
PLAN,keep,05728678: an arrangement scheme
PLAT,keep,03959350: a map showing planned or actual features of an area (streets and building lots etc.)
PLAY,keep,00556313: a deliberate coordinated movement requiring dexterity and skill
PLEA,keep,01197928: an answer indicating why a suit should be dismissed
PLEB,keep,10441251: one of the common people
PLOD,exclude,no clear singular countable sense (heuristic)
PLOP,exclude,no clear singular countable sense (heuristic)
PLOT,keep,05907682: a secret scheme to do something (especially something underhand or illegal)
PLOW,keep,03967562: a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
PLOY,keep,00172490: a maneuver in a game or conversation
PLUG,keep,02382204: an old or over-worked horse
PLUM,keep,00596081: a highly desirable position or assignment
PLUS,keep,05154517: a useful or valuable quality
POCK,keep,14334511: a pustule in an eruptive disease
POEM,keep,06377442: a composition written in metrical feet forming rhythmical lines
POET,keep,10444194: a writer of poems (the term is usually reserved for writers of good poetry)
POGY,exclude,no clear singular countable sense (heuristic)
POKE,keep,00334935: a sharp hand gesture (resembling a blow)
POKY,keep,03592245: a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
POLE,keep,03976657: a long (usually round) rod of wood or metal or plastic
POLK,exclude,no clear singular countable sense (heuristic)
POLL,keep,01817346: a tame parrot
POLO,keep,00477639: a game similar to field hockey but played on horseback using long-handled mallets and a wooden ball
POME,keep,13138842: a fleshy fruit (apple or pear or related fruits) having seed chambers and an outer fleshy part
POMP,exclude,no clear singular countable sense (heuristic)
POND,keep,09397391: a small lake
PONE,exclude,no clear singular countable sense (heuristic)
PONG,keep,05715150: an unpleasant smell
PONY,keep,02380335: a range horse of the western United States
POOF,exclude,no clear singular countable sense (heuristic)
POOL,keep,03982060: an excavation that is (usually) filled with water
POON,exclude,no clear singular countable sense (heuristic)
POOP,keep,10358794: a stupid foolish person
POOR,exclude,no clear singular countable sense (heuristic)
POPE,exclude,no clear singular countable sense (heuristic)
PORE,keep,11680032: a minute epidermal pore in a leaf or stem through which gases and water vapor can pass
PORK,keep,13358000: a legislative appropriation designed to ingratiate legislators with their constituents
PORT,keep,03984908: an opening (in a wall or ship or armored vehicle) for firing through
POSE,keep,00755673: a deliberate pretense or exaggerated display
POST,keep,00586262: a job in an organization
POSY,keep,02879087: an arrangement of flowers that is usually given as a present
POUF,exclude,no clear singular countable sense (heuristic)
POUT,keep,02519340: catfish common in eastern United States
PRAM,keep,02766534: a small vehicle with four wheels in which a baby or child is pushed around
PRAT,exclude,no clear singular countable sense (heuristic)
PREP,exclude,no clear singular countable sense (heuristic)
PREY,keep,02152881: animal hunted or caught for food
PRIG,keep,10617024: a person regarded as arrogant and annoying
PROD,keep,04007664: a pointed instrument that is used to prod into a state of motion
PROF,keep,10480730: someone who is a member of the faculty at a college or university
PROP,keep,02692086: a propeller that rotates to push against air
PROW,exclude,no clear singular countable sense (heuristic)
PUCE,keep,04974145: a color varying from dark purplish brown to dark red
PUCK,keep,04019541: a vulcanized rubber disk 3 inches in diameter that is used instead of a ball in ice hockey
PUFF,keep,00837675: a slow inhalation (as of tobacco smoke)
PUKA,exclude,no clear singular countable sense (heuristic)
PUKE,keep,10539715: a person who is deemed to be despicable or contemptible
PUKU,keep,02428089: an African antelope closely related to the waterbuck
PULL,keep,00625427: a sustained effort
PULP,keep,06596607: an inexpensive magazine printed on poor quality paper
PUMA,keep,02125311: large American feline resembling a lion
PUMP,keep,04021798: a mechanical device that moves fluid or gas by pressure or suction
PUNG,keep,04024576: a one-horse sleigh consisting of a box on runners
PUNK,keep,10184081: an aggressive and violent young criminal
PUNT,keep,04024983: an open flat-bottomed boat used in shallow waters and propelled by a long pole
PUPA,keep,02312427: an insect in the inactive stage of development (when it is not feeding) intermediate between larva and adult
PURL,keep,04026180: a basic knitting stitch
PURR,keep,07390645: a low vibrating sound typical of a contented cat
PUSH,keep,00282485: an effort to advance
PUSS,keep,02122298: informal terms referring to a domestic cat
PUTT,exclude,no clear singular countable sense (heuristic)
PYRE,exclude,no clear singular countable sense (heuristic)
QOPH,exclude,no clear singular countable sense (heuristic)
QUAD,keep,04030518: a rectangular area surrounded on all sides by buildings
QUAG,keep,09355850: a soft wet area of low-lying land that sinks underfoot
QUAT,exclude,no clear singular countable sense (heuristic)
QUAY,exclude,no clear singular countable sense (heuristic)
QUID,keep,07579399: a wad of something chewable as tobacco
QUIN,keep,10501908: one of five children born at the same time from the same pregnancy
QUIP,keep,07153727: a witty saying
QUIZ,keep,07199191: an examination consisting of a few short questions
RACE,keep,04037873: a canal for a current of water
RACK,keep,00287276: a rapid gait of a horse in which each foot strikes the ground separately
RAFT,keep,04045397: a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers
RAGE,keep,05751173: an interest followed with exaggerated zeal
RAID,keep,00777324: an attempt by speculators to defraud investors
RAIL,keep,04046590: a horizontal bar (usually of wood or metal)
RAIN,exclude,no clear singular countable sense (heuristic)
RAJA,keep,10505732: a prince or king in India
RAKE,keep,04050066: a long-handled tool with a row of teeth at its head
RALE,keep,07391240: a rapid series of short loud sounds (as might be heard with a stethoscope in some types of respiratory disorders)
RAMP,keep,04051549: an inclined surface connecting two levels
RANA,exclude,no clear singular countable sense (heuristic)
RAND,exclude,no clear singular countable sense (heuristic)
RANI,exclude,no clear singular countable sense (heuristic)
RANK,keep,08431942: a row or line of people (especially soldiers or police) standing abreast of one another
RANT,keep,07242912: a loud bombastic declamation expressed with strong emotion
RAPE,exclude,no clear singular countable sense (heuristic)
RASH,keep,08459087: a series of unexpected and unpleasant occurrences
RASP,keep,04054670: a coarse file with sharp pointed projections
RATE,keep,13816649: a quantity or amount or measure considered as a proportion of another quantity or amount or measure
RAVE,keep,06693744: an extravagantly enthusiastic review
RAZZ,keep,07123870: a cry or noise made to express displeasure or contempt
READ,exclude,no clear singular countable sense (heuristic)
REAL,keep,13389577: an old small silver Spanish coin
REAM,keep,13583137: a quantity of paper
REAR,exclude,no clear singular countable sense (heuristic)
REED,keep,02817799: a musical instrument that sounds by means of a vibrating reed
REEF,keep,03458961: one of several strips across a sail that can be taken in or rolled up to lessen the area of the sail that is exposed to the wind
REEK,keep,05714894: a distinctive odor that is offensively unpleasant
REEL,keep,00539674: an American country dance which starts with the couples facing each other in two lines
REIN,keep,04072551: one of a pair of long straps (usually connected to the bit or the headpiece) used to control a horse
REIT,exclude,no clear singular countable sense (heuristic)
RENT,keep,09410928: an opening made forcibly as by pulling apart
REPP,keep,04075813: a fabric with prominent rounded crosswise ribs
RESH,exclude,no clear singular countable sense (heuristic)
REST,keep,04081044: a support on which things can be put
RHEA,keep,01521399: larger of two tall fast-running flightless birds similar to ostriches but three-toed
RIAL,exclude,no clear singular countable sense (heuristic)
RICE,exclude,no clear singular countable sense (heuristic)
RICH,exclude,no clear singular countable sense (heuristic)
RICK,keep,07963208: a stack of hay
RIDE,keep,00307631: a journey in a vehicle (usually an automobile)
RIFF,keep,07045788: a jazz ostinato
RIFT,keep,07313814: a personal or social separation (as between opposing factions)
RILL,keep,09410460: a small channel (as one formed by soil erosion)
RIMA,keep,05610008: a narrow elongated opening or fissure between two symmetrical parts
RIME,exclude,no clear singular countable sense (heuristic)
RIMU,exclude,no clear singular countable sense (heuristic)
RIND,exclude,no clear singular countable sense (heuristic)
RING,keep,02785191: a strip of material attached to the leg of a bird to identify it (as in studies of bird migration)
RINK,exclude,no clear singular countable sense (heuristic)
RIOT,keep,00511212: a wild gathering involving excessive drinking and promiscuity
RISE,keep,05110408: an increase in cost
RISK,keep,00802238: a venture undertaken without regard to possible loss or injury
RITE,keep,01029406: an established ceremony prescribed by a religion
ROAD,keep,00174003: a way or means to achieve something
ROAN,keep,02375302: a horse having a brownish coat thickly sprinkled with white or gray
ROAR,keep,07121361: a very loud utterance (like the sound of an animal)
ROBE,exclude,no clear singular countable sense (heuristic)
ROCK,keep,07064715: a genre of popular music originating in the 1950s
ROLE,keep,05929008: an actor's portrayal of someone in a play
ROLL,keep,00170340: a flight maneuver
ROMP,keep,07475107: an easy victory
ROOD,exclude,no clear singular countable sense (heuristic)
ROOF,keep,04105068: a protective covering that covers or forms the top of a building
ROOK,keep,01579410: common gregarious Old World bird about the size and color of the American crow
ROOM,keep,04105893: an area within a building enclosed by walls and floor and ceiling
ROOT,keep,06300445: a simple form inferred as the common basis from which related words in several languages can be derived by linguistic processes
ROPE,keep,04108268: a strong line
ROSE,keep,04971313: a dusty pink color
ROSS,exclude,no clear singular countable sense (heuristic)
ROTA,keep,06496862: a roster of names showing the order in which people should perform certain duties
ROTE,exclude,no clear singular countable sense (heuristic)
ROUE,keep,10505942: a dissolute man in fashionable society
ROUT,keep,07476404: an overwhelming defeat
RUBY,keep,04963588: a deep and vivid red color
RUCK,keep,08183046: a crowd especially of ordinary or undistinguished persons or things
RUDD,keep,01442710: European freshwater fish resembling the roach
RUFF,keep,02030035: common Eurasian sandpiper
RUGA,exclude,no clear singular countable sense (heuristic)
RUIN,keep,04118635: a ruined building
RULE,keep,05846054: a principle or condition that customarily governs behavior
RUMP,keep,02463611: the part of an animal that corresponds to the human buttocks
RUNE,exclude,no clear singular countable sense (heuristic)
RUNG,keep,04119751: one of the crosspieces that form the steps of a ladder
RUNT,exclude,no clear singular countable sense (heuristic)
RUSE,keep,00172598: a deceptive maneuver (especially to avoid capture)
RUSH,keep,07436352: a sudden burst of activity
RUSK,exclude,no clear singular countable sense (heuristic)
RUST,keep,14277655: a plant disease that produces a reddish-brown discoloration of leaves and stems
RUTH,keep,07553964: a feeling of sympathy and sorrow for the misfortunes of others
SACK,keep,03013438: a loose-fitting dress hanging straight from the shoulders without a waist
SADE,exclude,no clear singular countable sense (heuristic)
SAFE,keep,04125116: a ventilated or refrigerated cupboard for securing provisions from pests
SAGA,keep,06370522: a narrative telling the adventures of a hero or a family
SAGE,keep,10546202: a mentor in spiritual and philosophical topics who is renowned for profound wisdom
SAGO,exclude,no clear singular countable sense (heuristic)
SAIL,keep,00312932: an ocean trip taken for pleasure
SAKE,keep,05143077: a reason for wanting something done
SAKI,keep,02492948: small arboreal monkey of tropical South America with long hair and bushy nonprehensile tail
SALE,keep,01114824: a particular instance of selling
SALP,keep,01469723: minute floating marine tunicate having a transparent body with an opening at each end
SALT,exclude,no clear singular countable sense (heuristic)
SAME,exclude,no clear singular countable sense (heuristic)
SAND,exclude,no clear singular countable sense (heuristic)
SANG,exclude,no clear singular countable sense (heuristic)
SARD,exclude,no clear singular countable sense (heuristic)
SARI,keep,04136161: a dress worn primarily by Hindu women
SASH,keep,03438071: a band of material around the waist that strengthens a skirt or trousers
SASS,keep,06721949: an impudent or insolent rejoinder
SAVE,exclude,no clear singular countable sense (heuristic)
SCAB,keep,10554455: someone who works (or provides workers) during a strike
SCAD,exclude,no clear singular countable sense (heuristic)
SCAM,keep,00754280: a fraudulent business scheme
SCAN,keep,04142549: an image produced by scanning
SCAR,keep,04693900: an indication of damage
SCAT,exclude,no clear singular countable sense (heuristic)
SCOT,exclude,no clear singular countable sense (heuristic)
SCOW,keep,04150273: a barge carrying bulk materials in an open hold
SCUD,exclude,no clear singular countable sense (heuristic)
SCUM,keep,04157703: a film of impurities or vegetation that can form on the surface of a liquid
SCUP,keep,02593453: found in Atlantic coastal waters of North America from South Carolina to Maine
SCUT,keep,02158739: a short erect tail
SEAL,keep,04159058: a device incised to make an impression
SEAM,keep,08659076: a stratum of ore or coal thick enough to be mined with profit
SEAT,keep,04162599: a part of a machine that supports or guides another part
SECT,keep,08149781: a subdivision of a larger religious group
SEED,keep,10575463: one of the outstanding players in a tournament
SEEK,exclude,no clear singular countable sense (heuristic)
SEER,keep,10483530: an authoritative person who divines the future
SELF,keep,09604981: a person considered as a unique individual
SELL,exclude,no clear singular countable sense (heuristic)
SEMI,keep,04172342: a trailer having wheels only in the rear
SENT,exclude,no clear singular countable sense (heuristic)
SEPT,exclude,no clear singular countable sense (heuristic)
SERF,exclude,no clear singular countable sense (heuristic)
SESS,exclude,no clear singular countable sense (heuristic)
SETA,keep,01902022: a stiff hair or bristle
SETH,exclude,no clear singular countable sense (heuristic)
SETT,exclude,no clear singular countable sense (heuristic)
SEXT,exclude,no clear singular countable sense (heuristic)
SHAD,keep,02530421: herring-like food fishes that migrate from the sea to fresh water to spawn
SHAG,keep,00533404: a lively dance step consisting of hopping on each foot in turn
SHAH,exclude,no clear singular countable sense (heuristic)
SHAM,keep,10201535: a person who makes deceitful pretenses
SHAN,exclude,no clear singular countable sense (heuristic)
SHAW,exclude,no clear singular countable sense (heuristic)
SHAY,keep,03002555: a carriage consisting of two wheels and a calash top
SHED,keep,04187547: an outbuilding with a single story
SHIM,keep,04193883: a thin wedge of material (wood or metal or stone) for driving into crevices
SHIN,exclude,no clear singular countable sense (heuristic)
SHIP,keep,04194289: a vessel that carries passengers or freight
SHIV,keep,04198722: a knife used as a weapon
SHOE,keep,02890940: a restraint provided when the brake linings are moved hydraulically against the brake drum to retard the wheel's rotation
SHOP,keep,00892254: a course of instruction in a trade (as carpentry or electricity)
SHOT,keep,00788632: an attempt to score in a game
SHOW,keep,06619065: a social event involving a public performance or entertainment
SIAL,exclude,no clear singular countable sense (heuristic)
SICK,exclude,no clear singular countable sense (heuristic)
SIDE,keep,04213626: an extended outer surface of an object
SIGH,keep,07129602: an utterance made by exhaling audibly
SIGN,keep,06646243: a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
SIKA,exclude,no clear singular countable sense (heuristic)
SILK,keep,04219424: a fabric made from the fine threads produced by certain insect larvae
SILL,exclude,no clear singular countable sense (heuristic)
SILO,keep,04220250: a cylindrical tower used for storing silage
SILT,exclude,no clear singular countable sense (heuristic)
SIMA,exclude,no clear singular countable sense (heuristic)
SIND,exclude,no clear singular countable sense (heuristic)
SINE,exclude,no clear singular countable sense (heuristic)
SINK,keep,02998563: a covered cistern
SION,exclude,no clear singular countable sense (heuristic)
SIRE,keep,01323355: male parent of an animal especially a domestic animal such as a horse
SISE,exclude,no clear singular countable sense (heuristic)
SITE,keep,06359193: a computer connected to the internet that maintains a series of web pages on the World Wide Web
SIVA,exclude,no clear singular countable sense (heuristic)
SIZE,keep,05099231: a large magnitude
SKAG,exclude,no clear singular countable sense (heuristic)
SKAW,exclude,no clear singular countable sense (heuristic)
SKEG,keep,04226322: a brace that extends from the rear of the keel to support the rudderpost
SKEP,keep,04226962: a domed beehive made of twisted straw
SKID,keep,00329031: an unexpected slide
SKIM,keep,09436531: a thin layer covering the surface of a liquid
SKIN,keep,01895735: body covering of a living animal
SKIP,keep,00074624: a mistake resulting from neglect
SKIT,keep,00551508: a short theatrical episode
SKUA,keep,02044778: gull-like jaeger of northern seas
SLAB,exclude,no clear singular countable sense (heuristic)
SLAG,exclude,no clear singular countable sense (heuristic)
SLAM,keep,06767922: an aggressive remark directed at a person like a missile and intended to have a telling effect
SLAP,keep,07410745: a blow from a flat object (as an open hand)
SLAT,exclude,no clear singular countable sense (heuristic)
SLAW,exclude,no clear singular countable sense (heuristic)
SLED,keep,04235291: a vehicle mounted on runners and pulled by horses or dogs
SLEW,exclude,no clear singular countable sense (heuristic)
SLIP,keep,00073828: a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
SLIT,keep,04241940: a long narrow opening
SLOB,keep,10612210: a coarse obnoxious person
SLOE,keep,12649723: a thorny Eurasian bush with plumlike fruits
SLOP,exclude,no clear singular countable sense (heuristic)
SLOT,keep,04243370: a small slit (as for inserting a coin or depositing mail)
SLUB,exclude,no clear singular countable sense (heuristic)
SLUG,keep,02916350: a projectile that is fired from a gun
SLUM,keep,08651832: a district of a city marked by poverty and inferior living conditions
SLUR,keep,04694441: a blemish made by dirt
SLUT,keep,09772930: a woman adulterer
SMEW,keep,01855188: smallest merganser and most expert diver
SMOG,exclude,no clear singular countable sense (heuristic)
SMUT,keep,07124340: an offensive or indecent word or phrase
SNAG,keep,05691144: an unforeseen obstacle
SNAP,keep,04248209: a fastener used on clothing
SNIP,keep,04250026: a small piece of anything (especially a piece that has been snipped off)
SNOB,keep,10617024: a person regarded as arrogant and annoying
SNOT,keep,10617024: a person regarded as arrogant and annoying
SNOW,exclude,no clear singular countable sense (heuristic)
SNUB,keep,01225997: a refusal to recognize someone you know
SNUG,keep,03144365: a small secluded room
SOAK,exclude,no clear singular countable sense (heuristic)
SOAP,exclude,no clear singular countable sense (heuristic)
SOAR,exclude,no clear singular countable sense (heuristic)
SOCK,keep,07257582: a truncated cloth cone mounted on a mast
SODA,exclude,no clear singular countable sense (heuristic)
SOFA,keep,04256520: an upholstered seat for more than one person
SOHO,exclude,no clear singular countable sense (heuristic)
SOIL,exclude,no clear singular countable sense (heuristic)
SOJA,exclude,no clear singular countable sense (heuristic)
SOLE,keep,02663849: right-eyed flatfish
SOLO,keep,00304729: a flight in which the aircraft pilot is unaccompanied
SOMA,exclude,no clear singular countable sense (heuristic)
SONG,keep,07048000: a short musical composition with words
SOOT,exclude,no clear singular countable sense (heuristic)
SOPH,keep,10625438: a second-year undergraduate
SORB,exclude,no clear singular countable sense (heuristic)
SORE,keep,14183065: an open skin infection
SORT,keep,04746262: an approximate definition or example
SOUL,keep,00007846: a human being
SOUP,keep,13927112: an unfortunate situation
SOUR,exclude,no clear singular countable sense (heuristic)
SOYA,exclude,no clear singular countable sense (heuristic)
SPAM,exclude,no clear singular countable sense (heuristic)
SPAN,keep,02898711: a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
SPAR,keep,04267577: a stout rounded pole of wood or metal used to support rigging
SPAT,keep,01956344: a young oyster or other bivalve
SPEC,keep,06725067: a detailed description of design criteria for a piece of work
SPIN,keep,00101003: a distinctive interpretation (especially as used by politicians to sway public opinion)
SPIT,keep,04280970: a skewer for holding meat over a fire
SPIV,keep,10637038: a person without employment who makes money by various dubious schemes
SPOT,keep,00072261: an act that brings discredit to the person who does it
SPUD,keep,04289964: a sharp hand shovel for digging out roots and weeds
SPUR,keep,02891430: a railway line connected to a trunk line
STAB,keep,01173965: a strong blow with a knife or other sharp pointed instrument
STAG,keep,02430559: adult male deer
STAR,keep,06828389: a star-shaped character * used in printing
STAY,keep,04307619: a thin strip of metal or bone that is used to stiffen a garment (e.g. a corset)
STEM,keep,00441501: a turn made in skiing
STEP,keep,00533922: a sequence of foot movements that make up a particular dance
STEW,exclude,no clear singular countable sense (heuristic)
STIR,keep,00555138: a rapid active commotion
STOB,keep,04321453: a short straight stick of wood
STOP,keep,01056411: a brief stay in the course of a journey
STUB,keep,06520429: a torn part of a ticket returned to the holder as a receipt
STUD,keep,02377291: adult male horse kept for breeding
SUCK,exclude,no clear singular countable sense (heuristic)
SUDS,exclude,possible plural or plural-only form
SUER,keep,10672192: someone who petitions a court for redress of a grievance or recovery of a right
SUET,exclude,no clear singular countable sense (heuristic)
SUGI,exclude,no clear singular countable sense (heuristic)
SUIT,keep,01182654: a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
SULK,keep,07551498: a mood or display of sullen aloofness or withdrawal
SUMP,keep,02998563: a covered cistern
SUNG,exclude,no clear singular countable sense (heuristic)
SURA,keep,06461830: one of the sections (or chapters) in the Koran
SURD,keep,07119897: a consonant produced without sound from the vocal cords
SURF,exclude,no clear singular countable sense (heuristic)
SWAB,exclude,no clear singular countable sense (heuristic)
SWAD,keep,07960666: a bunch
SWAG,keep,04368109: a bundle containing the personal belongings of a swagman
SWAN,keep,01858441: stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult
SWAP,keep,01109687: an equal exchange
SWAT,keep,00134391: a sharp blow
SWAY,exclude,no clear singular countable sense (heuristic)
SWIG,keep,00840189: a large and hurried swallow
SWIM,exclude,no clear singular countable sense (heuristic)
SWIZ,exclude,no clear singular countable sense (heuristic)
SWOB,exclude,no clear singular countable sense (heuristic)
SWOT,keep,10684630: an insignificant student who is ridiculed as being affected or boringly studious
TABU,keep,04884302: an inhibition or ban resulting from social custom or emotional aversion
TACH,exclude,no clear singular countable sense (heuristic)
TACK,keep,04383130: a short nail with a sharp point and a large head
TACT,exclude,no clear singular countable sense (heuristic)
TAEL,keep,13719291: a unit of weight used in east Asia approximately equal to 1.3 ounces
TAFT,exclude,no clear singular countable sense (heuristic)
TAIL,keep,02157557: the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body
TAKE,exclude,no clear singular countable sense (heuristic)
TALA,exclude,no clear singular countable sense (heuristic)
TALC,exclude,no clear singular countable sense (heuristic)
TALE,keep,06757057: a trivial lie
TALK,keep,07135734: an exchange of ideas via conversation
TALL,keep,05097278: a garment size for a tall person
TAMP,keep,"04387706: a tool for tamping (e.g., for tamping tobacco into a pipe bowl or a charge into a drill hole etc.)"
TANG,keep,01405107: brown algae seaweed with serrated edges
TANK,keep,03102771: a cell for violent prisoners
TAPA,keep,04391445: a paperlike cloth made in the South Pacific by pounding tapa bark
TAPE,keep,04391569: a long thin piece of cloth or paper as used for binding or fastening
TAPS,exclude,possible plural or plural-only form
TARA,exclude,no clear singular countable sense (heuristic)
TARE,keep,13275137: an adjustment made for the weight of the packaging in order to determine the net weight of the goods
TARN,keep,09454642: a mountain lake (especially one formed by glaciers)
TARO,exclude,no clear singular countable sense (heuristic)
TARP,exclude,no clear singular countable sense (heuristic)
TART,keep,10485440: a woman who engages in sexual intercourse for money
TASK,keep,00719705: a specific piece of work required to be done as a duty or for a specific fee
TATE,exclude,no clear singular countable sense (heuristic)
TATU,keep,02456008: about three feet long exclusive of tail
TAXI,keep,02930766: a car driven by a person whose job is to take passengers where they want to go in exchange for money
TEAK,exclude,no clear singular countable sense (heuristic)
TEAL,keep,04968426: a blue-green color or pigment
TEAM,keep,08208560: a cooperative unit (especially in sports)
TEAR,keep,00510723: an occasion for excessive eating or drinking
TEAT,exclude,no clear singular countable sense (heuristic)
TECH,keep,08285246: a school teaching mechanical and industrial arts and the applied sciences
TEEN,keep,09772029: a juvenile between the onset of puberty and maturity
TEFF,keep,12120347: an African grass economically important as a cereal grass (yielding white flour of good quality) as well as for forage and hay
TEJU,keep,01687128: large (to 3 feet) blackish yellow-banded South American lizard
TELL,exclude,no clear singular countable sense (heuristic)
TEMP,keep,10699415: a worker (especially in an office) hired on a temporary basis
TENT,keep,04411264: a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs)
TERA,exclude,no clear singular countable sense (heuristic)
TERM,keep,06303888: a word or expression used for some particular thing
TERN,exclude,no clear singular countable sense (heuristic)
TEST,keep,01904699: a hard outer covering as of some amoebas and sea urchins
TETH,exclude,no clear singular countable sense (heuristic)
TEXT,keep,06414372: a book prepared for use in schools or colleges
THAW,keep,07443539: a relaxation or slackening of tensions or reserve
THEN,exclude,no clear singular countable sense (heuristic)
